"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Preciados/Plaza de Callao","","Preciados/Plaza de Callao","Madrid","28013","","Andamio","","","","","196,187.65 €","175,000.00 €","14,117.65 €","221,890.01 €","73,609.01 €","A","07.02.2014","04.05.2015","Perdido ante la competencia","50%","50%","50%","01.05.2015","31.07.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Pricesa 1/Torre de Madrid","","Pricesa 1/Torre de Madrid","Madrid","28013","","Andamio","","","","","255,960.00 €","213,600.00 €","24,000.00 €","1,341,120.00 €","494,720.00 €","A","15.10.2013","12.11.2013","Contrato firmado","100%","50%","50%","01.01.2014","31.12.2014","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Princesa","","Princesa","Madrid","28001","","Andamio","","","","","101,330.94 €","85,000.00 €","12,352.94 €","167,746.50 €","62,982.50 €","C","18.01.2016","23.09.2016","Negociaciones interrumpidas","50%","50%","100%","01.04.2016","30.09.2016","Carranza, Laura","","0.000000","0.000000"
"Princesa 61","","Princesa 61","Madrid","28008","Princesa 61","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","05.06.2019","13.08.2021","Negociaciones interrumpidas","50%","50%","50%","01.10.2019","31.03.2020","Carranza, Laura","14.06.2019 Carranza, Laura (Dev Note): no sales interest. I cancel the negotiations","0.000000","0.000000"
"Princesa 70-2013","","Princesa 70/Corte Inglés","Madrid","05","","Andamio","","","","","124,165.00 €","95,000.00 €","20,000.00 €","238,745.00 €","92,938.00 €","B","21.10.2013","08.09.2014","Negociaciones interrumpidas","50%","50%","50%","01.04.2014","30.06.2014","Arrogante, Juanjo Martinez","","40.431814","-3.716848"
"Princesa 84","","Princesa 84","Madrid","28001","","Andamio","","","","","111,770.76 €","85,000.00 €","19,411.76 €","58,921.50 €","38,793.90 €","C","30.05.2016","23.03.2018","Perdido ante la competencia","50%","50%","100%","01.09.2016","31.01.2017","Carranza, Laura","","0.000000","0.000000"
"Princesa, 63","","Princesa, 63","Madrid","28008","Princesa, 63","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","10.02.2023","11.02.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","30.11.2023","Aumente, Alfonso","","0.000000","0.000000"
"Princesa, 77","","Princesa, 77","Madrid","28008","Princesa, 77","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","19.10.2022","01.12.2022","Emplazamiento introducido","50%","50%","75%","01.04.2023","31.07.2023","Aumente, Alfonso","01.12.2022 Aumente, Alfonso (Others): Dentro de poco la propiedad no quiere publicidad, dicen que la lona quita la luz a las viviendas. ","0.000000","0.000000"
"Princesa, 79","","Princesa, 79","Madrid","28008","Princesa, 79","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","19.10.2022","20.10.2022","Emplazamiento introducido","50%","50%","75%","01.04.2023","31.07.2023","Aumente, Alfonso","","0.000000","0.000000"
"Princesa, 88","","Princesa, 88","Madrid","28008","Princesa, 88","Andamio","","","","","253,200.00 €","220,000.00 €","21,900.00 €","171,120.00 €","71,800.80 €","A","06.07.2023","07.07.2023","Emplazamiento introducido","50%","50%","75%","01.10.2023","31.01.2024","Aumente, Alfonso","","40.255982","3.430389"
"Princesa/HUSA HOTEL","","Princesa/HUSA HOTEL","Madrid","28012","","Andamio","","","","","102,550.00 €","85,000.00 €","12,000.00 €","198,000.00 €","91,965.00 €","B","22.10.2013","08.05.2014","Negociaciones interrumpidas","50%","50%","50%","01.04.2014","31.07.2014","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Príncipe de Vergara 119","","Príncipe de Vergara 119/López de Hoyos","Madrid","28002","Príncipe de Vergara 119/López de Hoyos","Andamio","","","","","89,411.77 €","76,470.59 €","12,941.18 €","58,117.65 €","48,957.65 €","","30.01.2006","11.01.2008","Contrato firmado","100%","","","14.01.2008","18.04.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Príncipe de Vergara 126","","Príncipe de Vergara 126","Madrid","01","Príncipe de Vergara 126","Andamio","","","","","159,500.00 €","110,000.00 €","49,500.00 €","246,675.00 €","214,760.00 €","","12.03.2007","09.10.2007","Negociaciones interrumpidas","","","","01.10.2007","15.10.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Príncipe de Vergara 16","","Príncipe de Vergara 16","Madrid","06","","Andamio","","","","","63,000.00 €","50,000.00 €","7,000.00 €","144,426.00 €","89,066.00 €","C","02.06.2011","22.07.2011","Contrato firmado","100%","","","15.07.2011","31.12.2011","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Principe de Vergara 47","","Principe de Vergara 47","Madrid","28001","Principe de Vergara, 47","Andamio","","","","","103,884.76 €","90,000.00 €","9,411.76 €","203,791.98 €","79,582.18 €","C","23.02.2017","24.03.2017","Contrato firmado","100%","50%","100%","01.06.2017","30.11.2017","Carranza, Laura","","40.429604","-3.680075"
"Provença 437 / Sagrada Familia","","Provença 437 / Sagrada Familia","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","25.04.2014","06.06.2014","Negociaciones interrumpidas","50%","50%","100%","01.01.0001","01.01.0001","Ramon, Silvia","","0.000000","0.000000"
"PROVENZA 419-431","","PROVENZA 419 / SAGRADA FAMILIA","Barcelona","08025","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","18.06.2010","08.04.2011","Negociaciones interrumpidas","75%","","","01.09.2010","31.03.2011","Ramon, Silvia","","41.403605","2.173150"
"Provenza 426 / Sicilia","","Provenza 426","Barcelona","08025","Provenza 426","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","05.02.2010","18.06.2012","Negociaciones interrumpidas","25%","","","01.03.2010","30.06.2010","Ramon, Silvia","","0.000000","0.000000"
"Puente de segovia 1","","Puente de segovia 1","Madrid","28000","Puente de segovia 1","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","17.09.2021","25.02.2022","validado por ventas","50%","50%","50%","01.04.2022","31.07.2022","Carranza, Laura","","0.000000","0.000000"
"Puente Segovia 1","","Puente Segovia 1","Madrid","28000","Puente Segovia 1","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","10.09.2021","25.02.2022","validado por ventas","50%","50%","50%","01.12.2021","31.05.2022","Carranza, Laura","","0.000000","0.000000"
"Puerta de Moros 3","","Puerta de Moros 3","Madrid","28003","Puerta de Moros 3","Andamio","","","","","92,652.40 €","85,000.00 €","6,000.00 €","125,444.70 €","50,200.80 €","A","17.02.2020","11.06.2020","Perdido ante la competencia","50%","50%","50%","01.10.2020","31.03.2021","Carranza, Laura","","0.000000","0.000000"
"Puerta de Moros 8","","Puerta de Moros 8","Madrid","28003","Puerta de Moros 8","Andamio","","","","","119,991.76 €","90,000.00 €","23,411.76 €","160,439.99 €","43,232.24 €","A","30.01.2020","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.10.2020","28.02.2021","Carranza, Laura","22.06.2021 Carranza, Laura (Others): hablo con el adm y me dice, después de más de un año hablando con el, que lo lleva el presidente y que  han seleccionado dos ofertas, ninguna la nuestra. Voy a intentar acceder al mismo. El adm me dice que seguramente es porque es baja con respecto a las otras","0.000000","0.000000"
"Puerta del Sol 11","","Puerta del Sol 11","Madrid","28013","","Andamio","","","","","298,360.00 €","250,000.00 €","30,000.00 €","965,160.00 €","474,540.00 €","A","02.06.2014","07.09.2015","Perdido ante la competencia","50%","50%","50%","01.07.2016","31.12.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 12","","Puerta del Sol 12","Madrid","01","Puerta del Sol 12","Andamio","","","","","222,352.00 €","205,882.00 €","16,470.00 €","211,440.45 €","78,475.45 €","A","17.07.2007","04.03.2009","Contrato firmado","100%","","","01.04.2009","30.06.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 12 - 2014","","Puerta del Sol 12","Madrid","28013","","Andamio","","","","","252,885.29 €","225,000.00 €","18,235.29 €","286,549.99 €","89,044.99 €","A","29.04.2014","13.11.2018","Negociaciones interrumpidas","75%","50%","50%","15.01.2016","15.04.2016","Carranza, Laura","08.07.2014 Arrogante, Juanjo Martinez (): llamar presidente","0.000000","0.000000"
"Puerta del Sol 12 2021","","Puerta del Sol 12 2021","Madrid","28001","Puerta del Sol 12 2021","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-500,000.00 €","A","07.04.2021","09.04.2021","Emplazamiento introducido","50%","50%","50%","01.09.2021","01.03.2022","Carranza, Laura","","0.000000","0.000000"
"Puerta del Sol 12 2021","","Copy of Puerta del Sol 12 2021","Madrid","28001","Puerta del Sol 12 2021","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-300,000.00 €","A","07.04.2021","09.04.2021","Emplazamiento introducido","50%","50%","50%","01.10.2021","31.12.2021","Carranza, Laura","","0.000000","0.000000"
"Puerta del Sol 13","","Puerta del Sol 13","Madrid","28013","","Andamio","","","","","248,791.41 €","225,000.00 €","15,529.41 €","362,193.35 €","177,107.35 €","A","08.05.2012","12.09.2013","Contrato firmado","100%","","","01.10.2013","30.04.2014","Arrogante, Juanjo Martinez","","40.417199","-3.703367"
"Puerta del Sol 13","","Puerta del Sol 13","Madrid","28013","","Andamio","","","","","248,791.41 €","225,000.00 €","15,529.41 €","362,193.35 €","177,107.35 €","A","08.05.2012","12.09.2013","Contrato firmado","100%","","","01.10.2013","30.04.2014","Arrogante, Juanjo Martinez","","40.417199","-3.703367"
"Puerta del sol 13 2020","","Puerta del Sol 13 2020","Madrid","28013","Puerta del Sol 13","Medianera","Santiago Samburo","Samburo Santiago","658959673","santiago@samburo.e.telefonica.net","350,670.00 €","330,000.00 €","12,000.00 €","836,850.00 €","232,958.00 €","A","23.04.2018","05.11.2019","Perdido ante la competencia","50%","50%","50%","01.05.2020","31.10.2020","Carranza, Laura","04.12.2019 Carranza, Laura (Dev Note): 101/2019/105032 19/7/2019  Yolandai Serna Paz","0.000000","0.000000"
"Puerta del Sol 14","","Puerta del Sol 14","Madrid","01","Puerta del Sol 14","Andamio","","","","","121,000.00 €","110,000.00 €","11,000.00 €","378,950.00 €","-42,580.00 €","B","25.05.2006","26.09.2008","Perdido ante la competencia","0%","","","01.02.2006","13.09.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 3","","Puerta del Sol 3","Madrid","28013","","Andamio","","","","","1,502.00 €","1.00 €","1.00 €","4,505.04 €","-13,264.96 €","A","02.12.2014","05.05.2015","Perdido ante la competencia","50%","50%","50%","01.06.2014","31.08.2014","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 3 2019 FULL FORMAT","","Puerta del Sol 3 2019","Madrid","28003","Puerta del Sol 3 2019","Medianera","Cerámicas Pastrana","","660409143","pastranagalvez@ceramicapastrana.com","194,372.05 €","190,000.00 €","3,247.05 €","404,174.96 €","54,004.96 €","A","10.06.2019","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.10.2020","31.03.2021","Carranza, Laura","20.09.2019 Carranza, Laura (Dev Note): I talked with him and he said our offer was far from the others. No interest in increasing. I am waiting for the official confirmation from landlord","0.000000","0.000000"
"Puerta del Sol 3 2019 FULL FORMAT","","Puerta del Sol 3 full format","Madrid","28003","Puerta del Sol 3","Medianera","Cerámicas Pastrana","","660409143","pastranagalvez@ceramicapastrana.com","239,372.00 €","235,000.00 €","3,247.00 €","501,260.00 €","474,750.00 €","A","10.06.2019","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.10.2020","31.03.2021","Carranza, Laura","20.09.2019 Carranza, Laura (Dev Note): I talked with him and he said our offer was far from the others. No interest in increasing. I am waiting for the official confirmation from landlord","0.000000","0.000000"
"Puerta del Sol 4","","Puerta del Sol 4","Madrid","28013","","Andamio","","","","","155,320.00 €","145,000.00 €","6,000.00 €","451,900.00 €","112,464.00 €","A","04.03.2010","19.04.2012","Contrato firmado","100%","","","01.04.2014","31.03.2015","Arrogante, Juanjo Martinez","","40.416582","-3.702655"
"Puerta del Sol 4 2020","","Puerta del Sol 4 2020","Madrid","28003","Puerta del Sol 4 2020","Andamio","IGNACIO. ADMON","","913554693","","255,495.94 €","250,000.00 €","3,952.94 €","493,265.00 €","158,299.00 €","A","12.06.2019","09.02.2023","Oferta presentada","50%","50%","50%","31.12.2023","31.05.2024","Carranza, Laura","25.01.2021 Carranza, Laura (Dev Note): not interested in adv by now","0.000000","0.000000"
"Puerta del Sol 5","","Puerta del Sol 5","Madrid","28003","Puerta del Sol 5","Andamio","PUERTA DEL SOL 5 SL","","917970672","","223,040.00 €","215,000.00 €","6,000.00 €","671,715.00 €","285,137.60 €","A","17.06.2019","18.05.2020","Oferta presentada","50%","50%","50%","01.03.2021","31.08.2021","Carranza, Laura","03.07.2019 Carranza, Laura (Dev Note): llamar administrador a primeros de agosto","0.000000","0.000000"
"Puerta del Sol 6","","Puerta del Sol 6","Madrid","280013","","Andamio","","","","","219,551.18 €","200,000.00 €","12,941.18 €","690,660.02 €","257,836.02 €","A","16.04.2015","07.09.2015","Perdido ante la competencia","50%","50%","50%","01.12.2015","31.05.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 8/ Arenal 1","","Puerta del Sol 8/ Arenal 1","Madrid","28003","Puerta del Sol 8/ Arenal 1","Andamio","PLAZAS ABOGADOS","","914362727","l.rubio@plazasabogados.es","354,253.47 €","325,000.00 €","17,176.47 €","1,149,416.00 €","218,541.00 €","A","08.11.2018","16.03.2022","Emplazamiento introducido","50%","50%","50%","01.09.2022","28.02.2023","Carranza, Laura","19.03.2019 Carranza, Laura (Dev Note): spoken to landlord. Not interested in this year. I will chase during the year","0.000000","0.000000"
"Puerta del Sol 9","","Puerta del Sol 9","Madrid","01","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-130,000.00 €","A","14.11.2008","10.02.2012","Perdido ante la competencia","50%","","","01.01.2009","30.06.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del Sol 9 2019","","Puerta del Sol 9 2019","Madrid","28013","Puerta del Sol 9","Andamio","Kennedy Wilson","Pelayo Moreno Moreno","917372540","pmoreno@kennedywilson.eu","408,961.52 €","380,000.00 €","16,823.52 €","1,544,817.91 €","230,605.91 €","A","13.02.2018","28.01.2020","Negociaciones interrumpidas","50%","50%","75%","01.04.2020","31.03.2021","Carranza, Laura","13.09.2019 Carranza, Laura (Dev Note): waiting for Pelayos feedback","0.000000","0.000000"
"Puerta del Sol/Carretas 3","","Puerta del Sol/Carretas 3","Madrid","28012","","Medianera","","","","","90,000.00 €","80,000.00 €","10,000.00 €","110,500.00 €","9,082.00 €","","20.10.2006","25.01.2007","Contrato firmado","","","","01.03.2007","31.07.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Puerta del sol/edificio tío pepe","","Puerta del sol/edificio tío pepe","Madrid","01","Puerta del sol/edificio tío pepe","Andamio","","","","","204,000.00 €","175,000.00 €","29,000.00 €","456,300.00 €","115,780.00 €","A","25.05.2006","30.04.2010","Perdido ante la competencia","","","","01.10.2010","31.03.2011","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Pza Ventas/Julio Camba 1-3","","Pza Ventas/Julio Camba 1-3","Madrid","1","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","19.01.2011","19.06.2012","Perdido ante la competencia","50%","","","01.03.2011","30.09.2011","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Pza. Catalunya 10","","Pza. Catalunya 10","Barcelona","","Pza. Catalunya 10","Andamio","","","","","138,000.00 €","120,000.00 €","18,000.00 €","0.00 €","-600,300.00 €","","10.01.2006","26.07.2006","Perdido ante la competencia","","","","01.10.2006","31.03.2007","Gumz, Michael","","0.000000","0.000000"
"RAfael Salgado 3","","RAfael Salgado 3","Madrid","28000","RAfael Salgado 3","Andamio","","","","","8,760.00 €","0.00 €","0.00 €","8,760.00 €","-41,841.89 €","B","20.08.2021","03.09.2021","Perdido ante la competencia","50%","75%","75%","01.09.2021","31.01.2022","Carranza, Laura","","0.000000","0.000000"
"Raimundo Fernández de Villaverde 52","","Raimundo Fernández de Villaverde 52","Madrid","28003","Raimundo Fernández de Villaverde 52","Andamio","","","","","154,464.23 €","140,000.00 €","10,588.23 €","353,129.98 €","310,852.98 €","A","25.06.2018","08.03.2019","Perdido ante la competencia","50%","50%","50%","01.09.2019","31.01.2020","Carranza, Laura","20.02.2019 Carranza, Laura (Dev Note): landlord has a personal relationship with exterior 21","0.000000","0.000000"
"Raimundo Fernández Villaverde 16","","Raimundo Fernández Villaverde 16","Madrid","28001","","Andamio","","","","","83,963.23 €","70,000.00 €","10,588.23 €","111,514.70 €","43,494.70 €","B","18.06.2012","06.09.2012","Contrato firmado","100%","","","01.10.2012","31.07.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Rambla Canaletas 138","","Rambla Canaletas 138","Barcelona","08002","Rambla Canaletas 138","Andamio","","","","","221,514.00 €","200,000.00 €","14,500.00 €","537,084.00 €","216,370.00 €","C","17.07.2023","26.07.2023","Emplazamiento introducido","50%","50%","50%","01.02.2024","28.02.2025","Canela, Miguel","","41.000000","2.000000"
"Rambla Cataluña 115bis","","Rambla Cataluña 115 / Roselló","Barcelona","08008","","Andamio","FINCAS BARCELONA","Ana Bahamontes","93 487 34 74","a.bahamontes@fincasbarcelona.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","02.11.2010","26.07.2016","Negociaciones interrumpidas","50%","50%","100%","01.10.2016","30.04.2017","Ramon, Silvia","","0.000000","0.000000"
"Rambla Cataluña 20","","Rambla Cataluña 20","Barcelona","08007","Rambla Cataluña 20","Andamio","","Jordi Cabanillas i Moreno","","montepinos@montepinos.com","83,235.29 €","75,000.00 €","8,235.29 €","88,227.94 €","37,790.94 €","C","06.07.2009","04.01.2011","Contrato firmado","100%","","","01.01.2011","31.10.2011","Ramon, Silvia","","41.388930","2.166607"
"Rambla Cataluña 29","","Rambla Cataluña 29","Barcelona","08000","Rambla Cataluña 29","Andamio","Luis Fuster","","62952231","lfusterdemedrano@gmail.com","180,095.52 €","160,000.00 €","8,823.52 €","678,175.94 €","253,613.94 €","A","21.02.2019","13.01.2021","Negociaciones interrumpidas","50%","50%","50%","01.09.2020","30.11.2022","Carranza, Laura","05.05.2020 Carranza, Laura (Others): I change the vs from 10 guaratees to 8","0.000000","0.000000"
"Rambla Cataluña 29","","Copy of Rambla Cataluña 29","Barcelona","08000","Rambla Cataluña 29","Andamio","Luis Fuster","","62952231","lfusterdemedrano@gmail.com","180,095.52 €","160,000.00 €","8,823.52 €","582,175.94 €","39,549.94 €","B","21.02.2019","13.01.2021","Negociaciones interrumpidas","50%","50%","50%","01.09.2020","30.11.2022","Carranza, Laura","05.05.2020 Carranza, Laura (Others): I change the vs from 10 guaratees to 8","0.000000","0.000000"
"Rambla Cataluña, 61","","Rambla Cataluña, 61","Barcelona","","Rambla Cataluña, 61","Andamio","","","","","187,060.00 €","160,000.00 €","27,060.00 €","572,767.00 €","534,225.00 €","","26.05.2006","18.09.2007","Perdido ante la competencia","","","","01.01.0001","01.01.0001","Morata, Rosi","","0.000000","0.000000"
"Rambla Catalunya 1","","Rambla Catalunya 1 / Plaza Catalunya","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","08.04.2011","05.03.2013","Negociaciones interrumpidas","50%","","","03.01.2012","30.04.2012","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 1 (2012)","","Rambla Catalunya 1 / Plaza Catalunya","Barcelona","08001","","Andamio","","","","","188,400.00 €","175,000.00 €","13,400.00 €","309,367.50 €","123,128.50 €","A","24.10.2012","08.04.2013","Perdido ante la competencia","50%","","","01.09.2013","31.12.2013","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 100","","Rambla Catalunya 100","Barcelona","08008","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","01.02.2012","07.05.2018","Negociaciones interrumpidas","25%","0%","0%","01.02.2012","31.08.2012","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 11","","Rambla Catalunya 11","Barcelona","08007","Rambla Catalunya 11","Andamio","ANZIZU","Alex Esteve","932705000","aesteve@anzizu.es","97,896.35 €","85,000.00 €","5,882.35 €","48,989.00 €","13,940.46 €","B","05.02.2010","21.07.2020","Negociaciones interrumpidas","50%","50%","75%","01.11.2020","31.03.2021","Ramon, Silvia","05.12.2019 Ramon, Silvia (Dev Note): Trying to contact the owner. No success","0.000000","0.000000"
"Rambla Catalunya 112","","Rambla Catalunya 112","Barcelona","08008","","Andamio","AXIS","Marta Cervelló","93-1054240","marta@axispatrimoni.com","211,507.29 €","180,000.00 €","20,235.29 €","547,359.98 €","172,095.98 €","A","01.02.2012","03.08.2021","Negociaciones interrumpidas","50%","50%","100%","01.09.2022","28.02.2023","Ramon, Silvia","09.07.2019 Ramon, Silvia (Phonecall): I contacted directly the son of the owner (Owner is an old man). He confirms me that they have no intention by the moment as his father is afraid with the shops, they prefer the rent of the shops than the advertisement. I will follow it up with the administrator after summer, sooner or later the façade must be done as its in a very bad conditions","0.000000","0.000000"
"Rambla Catalunya 117","","Rambla Catalunya 117","Barcelona","08008","Rambla Catalunya 117","Medianera","","","","","298,594.00 €","250,000.00 €","41,580.00 €","875,658.00 €","212,010.00 €","B","27.04.2023","12.06.2023","Emplazamiento introducido","50%","50%","50%","01.12.2023","31.08.2024","Canela, Miguel","","41.000000","2.000000"
"Rambla Catalunya 131","","Rambla Catalunya 131","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","22.03.2016","06.05.2016","Negociaciones interrumpidas","50%","50%","100%","01.12.2016","30.04.2017","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 131","","Rambla Catalunya 131","Barcelona","08007","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","17.11.2015","01.06.2017","Negociaciones interrumpidas","50%","50%","100%","01.03.2016","31.07.2016","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 14","","Rambla Catalunya 14","Barcelona","08007","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","1,000.00 €","0.00 €","1,000.00 €","0.00 €","-155,000.00 €","B","26.01.2021","21.04.2022","Oferta presentada","50%","50%","75%","01.01.2022","30.06.2022","Canela, Miguel","","0.000000","0.000000"
"Rambla Catalunya 15 / Gran Via","","Rambla Catalunya 15 / Gran Via","Barcelona","08007","","Andamio","Laborde","Miquel Laborde","933183663","mlaborde@labordemarcet.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","13.06.2013","07.05.2018","Negociaciones interrumpidas","25%","25%","100%","01.01.2015","30.06.2015","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 17","","Rambla Catalunya 17 / Gran Via","Barcelona","08007","","Andamio","","","","","287,154.35 €","250,000.00 €","25,882.35 €","728,859.99 €","159,563.94 €","A","14.12.2017","05.06.2018","Perdido ante la competencia","50%","50%","100%","01.10.2018","31.03.2019","Ramon, Silvia","","41.388564","2.166555"
"Rambla Catalunya 18","","Rambla Catalunya 18 / Gran Via","Barcelona","08008","","Andamio","","","","","235,294.12 €","200,000.00 €","35,294.12 €","139,941.18 €","49,706.18 €","A","27.02.2012","31.05.2013","Perdido ante la competencia","50%","","","01.06.2012","30.11.2012","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 18 - Febrero 2012","","Rambla Catalunya 18 / Gran Via (Feb12)","Barcelona","08007","Rambla Catalunya 18","Andamio","GENERALI","Victor Nieto","91-3301400","victor.nieto@gre.generali.es","153,235.29 €","125,000.00 €","28,235.29 €","80,915.44 €","63,420.44 €","A","29.01.2013","29.01.2013","Contrato firmado","100%","","","01.02.2013","28.02.2013","Ramon, Silvia","","41.388000","2.160000"
"Rambla Catalunya 18 / Gran Via (Junio 2013)","","Rambla Catalunya 18 / Gran Via (Junio 2013)","Barcelona","08007","","Andamio","GENERALI","Victor Nieto","91-3301400","victor.nieto@gre.generali.es","235,294.12 €","200,000.00 €","35,294.12 €","139,941.18 €","61,046.18 €","A","04.03.2013","05.03.2013","Contrato firmado","100%","","","01.06.2013","31.07.2013","Ramon, Silvia","","41.388000","2.160000"
"Rambla Catalunya 31","","Rambla Catalunya 31","Barcelona","08007","","Andamio","BASMI","Linda Marmol","93-2154560","linda@basmifinques.com","136,330.82 €","110,000.00 €","15,058.82 €","359,609.99 €","142,192.29 €","B","27.04.2010","30.06.2021","Negociaciones interrumpidas","50%","50%","75%","01.06.2021","30.11.2021","Ramon, Silvia","02.09.2020 Ramon, Silvia (Others): Esta todo en proyecto, todavia no han solicitado licencia, va para largo","41.389426","2.165508"
"RAMBLA CATALUNYA 33","","Rambla Catalunya 33 ","Barcelona","08008","","Andamio","GENERALI","Joan Portet","91-3301400","","119,014.00 €","100,000.00 €","12,000.00 €","47,214.00 €","10,345.46 €","B","20.11.2018","30.09.2019","Negociaciones interrumpidas","50%","50%","100%","01.10.2019","31.12.2019","Ramon, Silvia","12.09.2019 Ramon, Silvia (Dev Note): Scaffold mounted. Prepared for banners. No news if they're going to install their own banner","0.000000","0.000000"
"Rambla Catalunya 34","","Rambla Catalunya 34","Barcelona","08007","Rambla Catalunya 34","Andamio","","","","","190,314.00 €","175,000.00 €","8,300.00 €","413,184.00 €","198,385.00 €","C","13.07.2023","25.07.2023","Emplazamiento introducido","50%","50%","50%","01.10.2024","31.05.2026","Canela, Miguel","","41.000000","2.000000"
"Rambla Catalunya 38","","Rambla Catalunya 38","Barcelona","08007","","Andamio","CATREALSTATE","","93-4671115","","215,814.00 €","200,000.00 €","8,800.00 €","83,814.00 €","52,730.00 €","B","02.10.2020","23.11.2021","Contrato firmado","100%","100%","75%","30.11.2021","17.06.2022","Ramon, Silvia","","41.390250","2.165500"
"Rambla Catalunya 42","","Rambla Catalunya 42","Barcelona","08008","Rambla Catalunya 42","Andamio","","Francesc Sempere","","an.martinez@forcadell.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","05.02.2010","06.04.2010","Perdido ante la competencia","25%","","","01.04.2010","31.08.2010","Ramon, Silvia","","0.000000","0.000000"
"Rambla Catalunya 45","","Rambla Catalunya 45","Barcelona","08008","","Andamio","","","","","75,588.23 €","65,000.00 €","10,588.23 €","91,382.35 €","82,766.35 €","C","22.11.2010","04.01.2011","Contrato firmado","100%","","","01.01.2011","30.11.2011","Ramon, Silvia","","41.390273","2.164577"
"Rambla Catalunya 47","","Rambla Catalunya 47","Barcelona","08007","Rambla Catalunya 47","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","27.10.2023","28.10.2023","Emplazamiento introducido","50%","50%","50%","01.11.2024","30.04.2025","Canela, Miguel","","41.000000","21.000000"
"Rambla Catalunya 5","","Rambla Catalunya 5","Barcelona","08001","","Andamio","","","","","111,764.71 €","100,000.00 €","11,764.71 €","187,500.01 €","170,107.01 €","B","14.01.2014","17.09.2015","Perdido ante la competencia","50%","50%","100%","01.12.2014","31.03.2015","Ramon, Silvia","","0.000000","0.000000"
